url,label
https://google.com,0
https://facebook.com,0
https://amazon.com,0
https://github.com,0
https://youtube.com,0
https://wikipedia.org,0
https://microsoft.com,0
https://apple.com,0
https://flipkart.com,0
https://paytm.com,0
https://phonepe.com,0
https://sbi.co.in,0
https://hdfcbank.com,0
https://icicibank.com,0
https://axisbank.com,0
http://paypal-secure-login.xyz/verify,1
http://free-gift-iphone.tk/claim,1
http://192.168.1.1/login,1
http://amazon-prize-winner.ml/claim-now,1
http://secure-bank-verify.cf/account/update,1
http://login-paytm-kyc.top/verify,1
http://phonepe-cashback-claim.gq/free,1
http://sbi-online-verify.xyz/net-banking,1
http://hdfc-secure-update.work/confirm,1
http://icici-login-verify.tk/account,1
http://free-recharge-offer.ml/claim,1
http://upi-cashback-prize.gq/winner,1
http://paytm-kyc-update.cf/verify-now,1
http://your-bank-alert.xyz/login-secure,1
http://bit.ly/fake-payment,1
